max_pitch_1,min_pitch_1,mean_pitch_1,num_change_points_1,std_pitch_1,zero_cross_1,loudness_1,amplitude_envelope_1,band_energy_ratio_1,spectral_centroid_1,spectral_bandwidth_1,mfcc1_1,mfcc2_1,mfcc3_1,mfcc4_1,mfcc5_1,mfcc6_1,mfcc7_1,mfcc8_1,mfcc9_1,mfcc10_1,mfcc11_1,mfcc12_1,mfcc13_1,max_pitch_2,min_pitch_2,mean_pitch_2,num_change_points_2,std_pitch_2,zero_cross_2,loudness_2,amplitude_envelope_2,band_energy_ratio_2,spectral_centroid_2,spectral_bandwidth_2,mfcc1_2,mfcc2_2,mfcc3_2,mfcc4_2,mfcc5_2,mfcc6_2,mfcc7_2,mfcc8_2,mfcc9_2,mfcc10_2,mfcc11_2,mfcc12_2,mfcc13_2,target
3086.807,170.39717,1165.7291,31,826.5952,0.0383572048611111,0.023379164,0.035608068,123.183365,1898.6555887035024,2497.1819302958847,-339.35587,187.1006,-48.295742,33.689194,-17.772173,7.27188,5.08627,3.7689946,-17.956278,-8.17177,-1.9288449,-8.26651,2.530095,3079.3618,210.43704,1107.7313,30,810.2752,0.0385199652777777,0.019664543,0.03117478,107.14894,1782.889440135445,2417.062517730669,-366.50815,189.59647,-43.27081,26.434492,-16.694746,9.182505,2.4318733,4.474127,-11.042207,-2.2787187,-8.233483,-9.85351,2.6448357,is_not_transition
1895.4805,165.60059,637.83545,31,438.90976,0.0205078125,0.044127144,0.056036383,69.53195,1626.3385966328706,2658.238578477225,-329.2692,180.24191,-19.717756,24.406563,-7.1187067,7.20214,-11.650284,-18.656765,-26.066454,-4.735361,-16.042198,-15.527561,-1.887456,2669.698,162.18884,1051.8052,43,762.87964,0.0231662326388888,0.024291383,0.034450747,66.58143,1796.4523451702023,2729.616814450312,-340.14426,184.64934,-31.921701,38.256374,-6.501152,35.51501,-8.463146,-7.210239,-8.582802,0.86813486,-6.418057,-10.09394,-1.185717,is_transition
2708.5813,244.671,1310.8207,38,754.67944,0.0345052083333333,0.061830804,0.09217186,52.198044,2065.8041811336566,2606.1570970226057,-261.45068,164.89926,-59.647114,24.98981,-19.451422,5.1871796,-17.079016,-7.6984386,-17.41801,11.102149,-3.7542813,-4.608017,9.650204,3018.6257,172.11275,1245.0453,44,815.97217,0.0457356770833333,0.034319155,0.050930947,44.071255,2277.345506309089,2845.849962666244,-287.51883,170.01352,-45.609917,31.469584,-18.072298,11.488837,-9.869877,-9.118621,-30.325562,4.981009,1.9421163,-13.282715,7.545612,is_not_transition
1755.8315,146.79291,636.43396,18,392.75586,0.0141059027777777,0.022966664,0.030014176,86.38386,1240.814846878676,2167.5738618026026,-394.67612,199.22487,-14.792047,38.884808,-5.3060846,13.653553,5.860853,12.911303,-19.125809,-6.0091662,-9.707821,-16.932892,-3.4849365,3910.7864,153.19316,1276.8541,55,962.34937,0.0237087673611111,0.033373386,0.038865417,59.23007,1792.9137422135418,2655.54964880712,-318.3003,187.17142,-33.792446,46.350754,-8.80566,15.999271,-9.411771,8.224995,-20.297798,-4.6386623,-2.8576748,-7.1093316,1.5710822,is_transition
2191.4688,190.83745,1001.0228,11,630.74817,0.0309787326388888,0.059528742,0.087665886,121.85292,1545.8012739118608,2250.2345302900994,-297.82394,184.18701,-44.536232,23.642778,3.1909332,7.8448257,-16.39515,-13.2562275,-10.655145,-6.738998,-1.1245055,-0.9390811,-3.091379,1963.1589,199.18694,741.47015,15,493.46936,0.0224066840277777,0.07322007,0.100210644,178.83951,1456.3520938222098,2273.28369317796,-297.1981,189.4815,-27.87745,10.638498,-6.4866695,1.98735,-10.14307,-16.430407,-17.367727,-12.438516,-7.4464245,-17.793995,-3.327512,is_not_transition
3183.848,169.55191,1543.5121,47,854.36475,0.0519205729166666,0.030751238,0.05211669,43.465397,2563.2443822694763,2796.146465235059,-314.08142,144.73827,-76.00549,43.367943,-18.585426,31.37387,-21.646152,-12.921123,-22.438866,1.8187357,-6.679351,-23.750618,-3.6610463,2609.761,177.75233,1476.8142,43,797.83435,0.0489366319444444,0.060759827,0.10152013,72.81775,2397.401961522131,2472.848824820184,-257.1566,151.83253,-84.261635,32.692932,-6.888125,11.438071,-27.91193,-13.6791725,-24.69587,2.158045,-4.050581,-32.336994,-10.677096,is_not_transition
3432.2524,320.55264,1356.258,29,863.2489,0.0337999131944444,0.070639215,0.109931335,49.2968,2172.993040859045,2760.91344673168,-250.26715,159.58887,-48.446724,21.057861,-34.813293,-7.055893,-12.869442,0.13425234,-24.890463,-4.1025352,-4.9107714,2.3208644,18.006294,3492.6785,155.26144,1107.1583,44,690.05237,0.0411783854166666,0.043328423,0.06669486,47.164585,2409.1269494930207,2972.4457414785943,-273.42947,160.93947,-36.855286,27.378954,-38.380634,-0.5854499,-25.361423,-6.4593153,-28.289185,4.7871203,-0.19202712,2.5490897,14.311152,is_transition
3358.5552,149.41927,1070.7676,46,792.18744,0.0331488715277777,0.021540077,0.030825699,74.509384,2071.31797784651,2735.334664050568,-327.59344,181.17426,-47.01256,44.603428,-9.564121,15.814377,-1.234653,10.744023,-6.804062,-2.0220418,4.5937867,6.2386923,7.2510433,1908.3093,142.58907,731.4355,44,490.7477,0.0253363715277777,0.014742176,0.021008382,47.456673,2319.287121632611,3150.574196858494,-360.7862,163.57104,-37.3961,40.068882,-9.501398,16.85697,4.6976438,8.235712,-9.903146,5.2308264,-0.18165414,4.899757,7.452992,is_transition
1746.0725,148.20251,743.4736,43,459.66736,0.0215928819444444,0.04714566,0.063489735,107.283195,1400.0691488717143,2226.247834527664,-312.36697,197.08694,-24.83293,31.298838,-3.9830072,3.6105168,0.44503894,-5.0103755,-18.638157,-8.69855,-7.85248,-5.121845,9.270747,1728.7391,144.33461,574.818,22,359.0199,0.0167643229166666,0.054985985,0.06964984,87.40446,1458.30056394342,2555.1463837122665,-296.53406,193.72229,-6.288117,31.533674,-11.847916,10.810244,-5.9271355,-9.195858,-19.243376,-14.014571,-0.7160079,-6.218345,2.956738,is_not_transition
2694.3123,141.01929,1010.71606,50,605.9978,0.0402018229166666,0.047861196,0.075881876,29.510323,2560.2161181132574,3161.7253899901752,-252.94524,164.2175,-37.985962,29.545206,-35.90829,11.771928,-13.989737,5.6410513,-27.88569,9.396387,0.5765813,-7.93318,14.376763,1790.1254,167.4094,928.7229,33,514.20105,0.0300021701388888,0.069554836,0.10712395,61.807022,2305.931120155844,2885.107316392143,-229.29926,167.55469,-40.499226,34.689148,-29.67844,2.8900566,0.101372205,-11.784752,-26.706297,14.206255,7.82609,-3.1876683,21.820013,is_not_transition
2682.1318,154.99104,1050.6525,59,742.8623,0.0269639756944444,0.023890017,0.03233705,53.52639,1797.6213693169495,2736.982339960072,-348.0569,185.56465,-27.201576,44.025192,-3.3228495,10.464924,-4.090921,-5.433394,-19.933332,10.769917,-2.6266332,-5.561783,7.779178,2672.0503,152.83176,1124.6989,46,787.2984,0.0383029513888888,0.019386858,0.028706413,30.916534,2280.833553061688,3083.814624835309,-348.39847,171.23364,-46.80491,49.572292,-1.0991075,8.625565,-11.122946,-4.8600492,-23.137987,15.121464,-1.7724991,0.13628694,-2.1585608,is_not_transition
2777.8625,167.91678,1035.0135,48,629.3801,0.0439995659722222,0.031470608,0.04856898,101.767715,2061.404473645068,2320.162489053216,-317.84378,181.79141,-65.04818,29.301615,-42.27791,-18.566708,-5.6336174,4.252028,-18.720146,5.3053384,-9.072826,-14.429942,9.908724,2657.4062,233.82608,933.244,50,509.16406,0.0466579861111111,0.036919635,0.058273174,157.85237,2069.0905441512764,2231.6443805864665,-302.62308,181.38197,-73.41092,30.660265,-55.105404,-22.180216,-4.883381,-2.335131,-15.143034,-2.9224634,-8.022146,-9.437226,12.858293,is_not_transition
1770.5688,217.84573,763.957,11,456.6742,0.0183919270833333,0.011651293,0.016996369,75.46049,1667.447588431629,2558.3066353398467,-425.8586,181.2372,-35.02535,36.708096,-3.3809261,16.594566,5.8859463,10.989546,-12.174607,-11.811374,-7.7885904,0.16136646,-0.85956633,2203.1567,182.83173,879.101,13,533.7329,0.0170355902777777,0.011002799,0.01599465,49.64498,1822.483547855548,2798.587347335916,-417.72293,174.63568,-35.89133,31.388725,1.4787176,18.350138,-1.6008528,14.209771,-18.190361,-7.254754,-5.346161,0.20424128,-0.7213565,is_not_transition
